q1,q2,edgeNum,pathwayNumber
path:ko03020,cpd:C00333, , ,
path:ko00290,cpd:C00332,7,4,
ko:K10857,ko:K01026, , ,
ko:K13386,cpd:C00049, , ,
ko:K00492,cpd:C04405, , ,
ko:K12849 ko:K12850 ko:K12851,cpd:C02043, , ,
ko:K03872,cpd:C00582, , ,
ko:K01251,ko:K00817,4,4,
ko:K12795,ko:K00867 ko:K03525 ko:K09680 ko:K01947,9,6,
ko:K04456,ko:K01077 ko:K01113,11,8,
ko:K13065,cpd:C06002,17,9,
ko:K00847,cpd:C00183,9,6,
ko:K00232,ko:K01230, , ,
ko:K04371,cpd:C20247,11,6,
cpd:C00344,ko:K11180 ko:K11181,12,8,
ko:K01921,cpd:C00158,7,3,
cpd:C18315,ko:K10858, , ,
cpd:C03201,cpd:C20284, , ,
ko:K11152 ko:K00061,cpd:C00993, , ,
ko:K00004,ko:K11395,8,4,
ko:K03873,cpd:C05847 cpd:C01230 cpd:C04146 cpd:C04145 cpd:C17432, , ,
path:ko04730,cpd:C01144, , ,
cpd:C00031 cpd:C00095,ko:K03278, , ,
ko:K10809,ko:K16867, , ,
cpd:C00037 cpd:C00148 cpd:C00041 cpd:C00065 cpd:C00097 cpd:C00064 cpd:C00152 cpd:C00135 cpd:C00073,ko:K13741, , ,
ko:K01426,ko:K03052, , ,
ko:K04079 ko:K09487,cpd:C00080, , ,
cpd:C15883,ko:K04456, , ,
cpd:C05125,cpd:C01236,13,7,
cpd:C16461,ko:K01874, , ,
cpd:C00065,ko:K01942 ko:K01947 ko:K03524,12,7,
ko:K09459,cpd:C00052, , ,
ko:K03334,cpd:C18034,14,9,
cpd:C01571,ko:K00895, , ,
cpd:C00041 cpd:C00065 cpd:C00097 cpd:C00188 cpd:C00064,ko:K04283, , ,
cpd:C14419,cpd:C16544, , ,
ko:K14553,path:ko00720, , ,
gl:G00101,ko:K00994 ko:K13644, , ,
ko:K01860,cpd:C04675, , ,
cpd:C00750,cpd:C18302, , ,
ko:K00152,path:ko02040, , ,
ko:K03384,ko:K11904, , ,
ko:K11518,cpd:C00671, , ,
ko:K04688,ko:K04066, , ,
cpd:C04092,cpd:C00307, , ,
cpd:C09814,ko:K04733,14,10,
ko:K07462,cpd:C05382, , ,
ko:K12305,ko:K03678, , ,
ko:K13788 ko:K00625 ko:K15024,cpd:C00684, , ,
ko:K00681 ko:K18592,ko:K01061,5,5,
