q1,q2,edgeNum,pathwayNumber,ShortestPath,RunningTime
ko:K00668,path:ko00500,5,5,"[(ko:K00668 : path:ko00620)- (path:ko00620 : path:ko00010)- (path:ko00010 : ko:K18125)- (ko:K18125 : ko:K00011)- (ko:K00011 : path:ko00500)]",104.451223,
path:ko00500,ko:K00668,9,4,"[(path:ko00500 : ko:K13648)- (ko:K13648 : path:ko00520)- (path:ko00520 : ko:K00978)- (ko:K00978 : path:ko00010)- (path:ko00010 : ko:K00626)- (ko:K00626 : ko:K00023)- (ko:K00023 : ko:K17865)- (ko:K17865 : ko:K00209)- (ko:K00209 : ko:K00668)]",8.016379,
path:ko00500,ko:K00668,9,4,"[(path:ko00500 : ko:K13648)- (ko:K13648 : path:ko00520)- (path:ko00520 : ko:K00978)- (ko:K00978 : path:ko00010)- (path:ko00010 : ko:K00626)- (ko:K00626 : ko:K00023)- (ko:K00023 : ko:K17865)- (ko:K17865 : ko:K00209)- (ko:K00209 : ko:K00668)]",10.674672,
ko:K00668,path:ko00500,5,5,"[(ko:K00668 : path:ko00620)- (path:ko00620 : path:ko00010)- (path:ko00010 : ko:K18125)- (ko:K18125 : ko:K00011)- (ko:K00011 : path:ko00500)]",8.206034,
ko:K00808,cpd:C00111,11,8,"[(ko:K00808 : path:ko00330)- (path:ko00330 : path:ko00460)- (path:ko00460 : ko:K14454 ko:K14455 ko:K00811 ko:K00812 ko:K00813 ko:K11358)- (ko:K14454 ko:K14455 ko:K00811 ko:K00812 ko:K00813 ko:K11358 : ko:K18123)- (ko:K18123 : ko:K11517 ko:K00104 ko:K11472 ko:K11473)- (ko:K11517 ko:K00104 ko:K11472 ko:K11473 : ko:K03781)- (ko:K03781 : cpd:C00001)- (cpd:C00001 : cpd:C00197)- (cpd:C00197 : cpd:C00236)- (cpd:C00236 : cpd:C00118)- (cpd:C00118 : cpd:C00111)]",13.734586,
ko:K03334,ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058,3,3,"[(ko:K03334 : ko:K00274)- (ko:K00274 : ko:K17721)- (ko:K17721 : ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058)]",1.953669,
ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058,ko:K03334,2,3,"[(ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058 : path:ko00260)- (path:ko00260 : ko:K03334)]",0.943366,
ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058,ko:K03334,2,3,"[(ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058 : path:ko00260)- (path:ko00260 : ko:K03334)]",0.714888,
ko:K03334,ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058,3,3,"[(ko:K03334 : ko:K00274)- (ko:K00274 : ko:K17721)- (ko:K17721 : ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058)]",2.452126,
cpd:C16474,path:ko00030,11,9,"[(cpd:C16474 : cpd:C16476)- (cpd:C16476 : cpd:C02222)- (cpd:C02222 : cpd:C00846)- (cpd:C00846 : cpd:C02232)- (cpd:C02232 : cpd:C00024)- (cpd:C00024 : cpd:C00083)- (cpd:C00083 : ko:K08765 ko:K19523 ko:K19524)- (ko:K08765 ko:K19523 ko:K19524 : ko:K01897 ko:K15013)- (ko:K01897 ko:K15013 : path:ko00071)- (path:ko00071 : ko:K00169 ko:K00170 ko:K00172 ko:K00171)- (ko:K00169 ko:K00170 ko:K00172 ko:K00171 : path:ko00030)]",2.918901,
ko:K01574,path:ko00061,4,5,"[(ko:K01574 : ko:K01027 ko:K01028 ko:K01029)- (ko:K01027 ko:K01028 ko:K01029 : ko:K00626)- (ko:K00626 : ko:K01578)- (ko:K01578 : path:ko00061)]",0.643041,
path:ko00061,ko:K01574,4,5,"[(path:ko00061 : ko:K01647)- (ko:K01647 : ko:K00626)- (ko:K00626 : ko:K01640)- (ko:K01640 : ko:K01574)]",2.185271,
path:ko00061,ko:K01574,4,5,"[(path:ko00061 : ko:K01647)- (ko:K01647 : ko:K00626)- (ko:K00626 : ko:K01640)- (ko:K01640 : ko:K01574)]",1.798821,
ko:K01574,path:ko00061,4,5,"[(ko:K01574 : ko:K01027 ko:K01028 ko:K01029)- (ko:K01027 ko:K01028 ko:K01029 : ko:K00626)- (ko:K00626 : ko:K01578)- (ko:K01578 : path:ko00061)]",0.553346,
cpd:C00259,ko:K07408 ko:K07410,15,6,"[(cpd:C00259 : cpd:C00508)- (cpd:C00508 : cpd:C01101)- (cpd:C01101 : cpd:C00231)- (cpd:C00231 : cpd:C00118)- (cpd:C00118 : cpd:C00111)- (cpd:C00111 : cpd:C03372)- (cpd:C03372 : cpd:C00681)- (cpd:C00681 : cpd:C00416)- (cpd:C00416 : ko:K00889)- (ko:K00889 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01114 ko:K16619)- (ko:K01114 ko:K16619 : ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058)- (ko:K01047 ko:K16342 ko:K16343 ko:K14621 ko:K14674 ko:K16817 ko:K01058 : ko:K07415)- (ko:K07415 : ko:K01253)- (ko:K01253 : ko:K07408 ko:K07410)]",14.843957,
