source, target, type, edgetype
ko:K13778 ko:K13777,ko:K11731,ECrel, Relation
ko:K01041,ko:K17832,ECrel, Relation
ko:K13778 ko:K13777,ko:K13779,ECrel, Relation
ko:K00257,ko:K00632,ECrel, Relation
ko:K00257,ko:K01692 ko:K01825 ko:K01782,ECrel, Relation
ko:K00022 ko:K01825 ko:K01782,ko:K01692 ko:K01825 ko:K01782,ECrel, Relation
ko:K00632,ko:K00022 ko:K01825 ko:K01782,ECrel, Relation
ko:K00632,path:ko00280,maplink, Relation
ko:K13774,ko:K13775,ECrel, Relation
ko:K13775,ko:K13774,ECrel, Relation
ko:K13776,ko:K13774,ECrel, Relation
ko:K13776,ko:K13775,ECrel, Relation
ko:K11731,ko:K13776,ECrel, Relation
ko:K13779,ko:K01640,ECrel, Relation
ko:K01640,ko:K00632,ECrel, Relation
cpd:C16471 ,cpd:C03069 ,irreversible, Reaction
cpd:C16469 ,cpd:C16471 ,irreversible, Reaction
cpd:C01920 ,cpd:C01291 ,irreversible, Reaction
cpd:C01291 ,cpd:C04675 ,irreversible, Reaction
cpd:C16470 ,cpd:C16468 ,irreversible, Reaction
cpd:C16468 ,cpd:C16469 ,irreversible, Reaction
cpd:C16464 ,cpd:C01920 ,irreversible, Reaction
cpd:C16461 ,cpd:C16465 ,irreversible, Reaction
cpd:C16466 ,cpd:C16470 ,irreversible, Reaction
cpd:C01499 ,cpd:C16461 ,irreversible, Reaction
cpd:C16462 ,cpd:C16464 ,irreversible, Reaction
cpd:C04675 ,cpd:C16466 ,irreversible, Reaction
ko:K01196,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01178,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01178,ko:K01203 ko:K01182,ECrel, Relation
ko:K01203 ko:K01182,ko:K01203 ko:K01182,ECrel, Relation
ko:K01196 ko:K00705,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01203 ko:K01182,ECrel, Relation
ko:K01196,ko:K12047 ko:K01178,ECrel, Relation
ko:K01196,ko:K12047 ko:K01178,ECrel, Relation
ko:K01196,ko:K01203 ko:K01182,ECrel, Relation
ko:K01196,ko:K01196 ko:K00705,ECrel, Relation
ko:K01196,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K12047 ko:K01178,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01178,ko:K01196 ko:K00705,ECrel, Relation
ko:K12047 ko:K01178,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K01196 ko:K00705,ko:K12047 ko:K01178,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K12047 ko:K01178,ECrel, Relation
ko:K01196 ko:K00705,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01203 ko:K01182,ECrel, Relation
ko:K01176 ko:K07405 ko:K05343,ko:K12047 ko:K01178,ECrel, Relation
ko:K01176 ko:K07405 ko:K05343,ko:K01203 ko:K01182,ECrel, Relation
ko:K00700 ko:K16149,ko:K00688 ko:K16153,ECrel, Relation
ko:K00700 ko:K16149,ko:K00688 ko:K16153,ECrel, Relation
ko:K01196,ko:K00688 ko:K16153,ECrel, Relation
ko:K01196,ko:K00688 ko:K16153,ECrel, Relation
ko:K01177,ko:K00688 ko:K16153,ECrel, Relation
ko:K01176 ko:K07405 ko:K05343,ko:K00688 ko:K16153,ECrel, Relation
ko:K01196,ko:K00700 ko:K16149,ECrel, Relation
ko:K01196,ko:K00700 ko:K16149,ECrel, Relation
ko:K00700 ko:K16149,ko:K01177,ECrel, Relation
ko:K00700 ko:K16149,ko:K01176 ko:K07405 ko:K05343,ECrel, Relation
ko:K01196,ko:K01177,ECrel, Relation
ko:K01196,ko:K01176 ko:K07405 ko:K05343,ECrel, Relation
ko:K01177,ko:K01176 ko:K07405 ko:K05343,ECrel, Relation
ko:K01208,ko:K01177,ECrel, Relation
ko:K01194,ko:K00691,ECrel, Relation
ko:K01194,ko:K00702,ECrel, Relation
ko:K05342,ko:K00691,ECrel, Relation
ko:K05342,ko:K00691,ECrel, Relation
ko:K05342,ko:K00702,ECrel, Relation
ko:K00691,ko:K00702,ECrel, Relation
ko:K05342,ko:K01838,ECrel, Relation
ko:K01838,ko:K00691,ECrel, Relation
ko:K01177,ko:K01196 ko:K00705,ECrel, Relation
ko:K01177,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K00691,ko:K01177,ECrel, Relation
ko:K00691,ko:K01196 ko:K00705,ECrel, Relation
ko:K00691,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K01232,ko:K02777 ko:K02790 ko:K02791,ECrel, Relation
ko:K01226,ko:K01232,ECrel, Relation
ko:K01087 ko:K16055,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K01232,ko:K01087 ko:K16055,ECrel, Relation
ko:K01087 ko:K16055,ko:K01226,ECrel, Relation
ko:K00697 ko:K16055,ko:K01087 ko:K16055,ECrel, Relation
ko:K01232,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K01226,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K00697 ko:K16055,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K01232,ko:K00697 ko:K16055,ECrel, Relation
ko:K00697 ko:K16055,ko:K01226,ECrel, Relation
ko:K01087 ko:K16055,ko:K01194,ECrel, Relation
ko:K01087 ko:K16055,ko:K05342,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K00703 ko:K16148,ECrel, Relation
ko:K00688 ko:K16153,ko:K00703 ko:K16148,ECrel, Relation
ko:K00700 ko:K16149,ko:K00703 ko:K16148,ECrel, Relation
ko:K01196,ko:K00703 ko:K16148,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K00688 ko:K16153,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K00700 ko:K16149,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K01196,ECrel, Relation
ko:K00975,ko:K00703 ko:K16148,ECrel, Relation
ko:K00703 ko:K16148,ko:K18447,ECrel, Relation
ko:K00844,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K00847,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K12407 ko:K00845,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K00844,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K01084,ECrel, Relation
ko:K12407 ko:K00845,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K00844,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K01084,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K05344,ko:K01084,ECrel, Relation
ko:K05344,ko:K00844,ECrel, Relation
ko:K05344,ko:K12407 ko:K00845,ECrel, Relation
ko:K01179 ko:K19356 ko:K19357,ko:K00694,ECrel, Relation
ko:K00694,ko:K01225,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01179 ko:K19356 ko:K19357,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01225,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01179 ko:K19356 ko:K19357,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01225,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01210,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01188 ko:K05349 ko:K05350,ECrel, Relation
ko:K01193,ko:K01210,ECrel, Relation
ko:K01193,ko:K01188 ko:K05349 ko:K05350,ECrel, Relation
ko:K01203,ko:K01210,ECrel, Relation
ko:K01203,ko:K01188 ko:K05349 ko:K05350,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01210,ECrel, Relation
ko:K01199,ko:K00692,ECrel, Relation
ko:K01199,ko:K00706,ECrel, Relation
ko:K01199,ko:K01210,ECrel, Relation
ko:K00706,ko:K01210,ECrel, Relation
ko:K00692,ko:K01212,ECrel, Relation
ko:K00695,ko:K00689,ECrel, Relation
ko:K00695,ko:K05341,ECrel, Relation
ko:K00695,ko:K00692,ECrel, Relation
ko:K01203,ko:K00695,ECrel, Relation
ko:K01193,ko:K00695,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00695,ECrel, Relation
ko:K00689,ko:K00692,ECrel, Relation
ko:K01203,ko:K00689,ECrel, Relation
ko:K01193,ko:K00689,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00689,ECrel, Relation
ko:K05341,ko:K00692,ECrel, Relation
ko:K01203,ko:K05341,ECrel, Relation
ko:K01193,ko:K05341,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K05341,ECrel, Relation
ko:K01203,ko:K00692,ECrel, Relation
ko:K01193,ko:K00692,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00692,ECrel, Relation
ko:K01193,ko:K02808 ko:K02809 ko:K02810,ECrel, Relation
ko:K02808 ko:K02809 ko:K02810,ko:K00696,ECrel, Relation
ko:K01193,ko:K00696,ECrel, Relation
ko:K01198 ko:K15920,ko:K00770,ECrel, Relation
ko:K00770,ko:K08678,ECrel, Relation
ko:K08678,ko:K08679,ECrel, Relation
ko:K08679,ko:K00699,ECrel, Relation
ko:K08679,ko:K00012,ECrel, Relation
ko:K08678,ko:K00699,ECrel, Relation
ko:K08678,ko:K00012,ECrel, Relation
ko:K00012,ko:K00699,ECrel, Relation
ko:K13648,ko:K01051,ECrel, Relation
ko:K13648,ko:K08679,ECrel, Relation
ko:K01051,ko:K01184,ECrel, Relation
ko:K01051,ko:K01213,ECrel, Relation
ko:K00699,ko:K01195 ko:K14756,ECrel, Relation
ko:K00012,ko:K00697 ko:K16055,ECrel, Relation
ko:K00012,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00012,ko:K00963,ECrel, Relation
ko:K01513,ko:K00012,ECrel, Relation
ko:K00694,ko:K00012,ECrel, Relation
ko:K00706,ko:K00012,ECrel, Relation
ko:K00695,ko:K00012,ECrel, Relation
ko:K00696,ko:K00012,ECrel, Relation
ko:K00697 ko:K16055,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00963,ko:K00697 ko:K16055,ECrel, Relation
ko:K01513,ko:K00697 ko:K16055,ECrel, Relation
ko:K00694,ko:K00697 ko:K16055,ECrel, Relation
ko:K00706,ko:K00697 ko:K16055,ECrel, Relation
ko:K00695,ko:K00697 ko:K16055,ECrel, Relation
ko:K00696,ko:K00697 ko:K16055,ECrel, Relation
ko:K00963,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K01513,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00694,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00706,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00695,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00696,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00694,ko:K00963,ECrel, Relation
ko:K00706,ko:K00963,ECrel, Relation
ko:K00695,ko:K00963,ECrel, Relation
ko:K00696,ko:K00963,ECrel, Relation
ko:K00694,ko:K01513,ECrel, Relation
ko:K00706,ko:K01513,ECrel, Relation
ko:K00695,ko:K01513,ECrel, Relation
ko:K00696,ko:K01513,ECrel, Relation
ko:K00706,ko:K00694,ECrel, Relation
ko:K00695,ko:K00694,ECrel, Relation
ko:K00694,ko:K00696,ECrel, Relation
ko:K00695,ko:K00706,ECrel, Relation
ko:K00706,ko:K00696,ECrel, Relation
ko:K00695,ko:K00696,ECrel, Relation
ko:K00963,ko:K00690,ECrel, Relation
ko:K00963,ko:K00975,ECrel, Relation
ko:K00963,ko:K18447,ECrel, Relation
ko:K00963,ko:K00688 ko:K16153,ECrel, Relation
ko:K00963,ko:K00702,ECrel, Relation
ko:K00963,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K11809,ko:K00963,ECrel, Relation
ko:K05344,ko:K00963,ECrel, Relation
ko:K00978,ko:K00963,ECrel, Relation
ko:K00975,ko:K00690,ECrel, Relation
ko:K00690,ko:K18447,ECrel, Relation
ko:K00688 ko:K16153,ko:K00690,ECrel, Relation
ko:K00702,ko:K00690,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K00690,ECrel, Relation
ko:K11809,ko:K00690,ECrel, Relation
ko:K05344,ko:K00690,ECrel, Relation
ko:K00978,ko:K00690,ECrel, Relation
ko:K01513,ko:K00690,ECrel, Relation
ko:K00975,ko:K00688 ko:K16153,ECrel, Relation
ko:K00975,ko:K00702,ECrel, Relation
ko:K00975,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K11809,ko:K00975,ECrel, Relation
ko:K05344,ko:K00975,ECrel, Relation
