name, type,
cpd:C03069,compound,
cpd:C16471,compound,
ko:K00632,ortholog,
ko:K00022 ko:K01825 ko:K01782,ortholog,
ko:K13778 ko:K13777,ortholog,
path:ko00280,map,
cpd:C16469,compound,
ko:K13779,ortholog,
ko:K00257,ortholog,
ko:K01692 ko:K01825 ko:K01782,ortholog,
cpd:C16462,compound,
cpd:C01920,compound,
cpd:C16464,compound,
cpd:C16465,compound,
cpd:C09848 cpd:C11384,compound,
ko:K11731,ortholog,
ko:K01041,ortholog,
ko:K00632,ortholog,
ko:K17832,ortholog,
path:ko00281,map,
cpd:C16470,compound,
cpd:C04675,compound,
cpd:C01291,compound,
cpd:C01499,compound,
cpd:C16461,compound,
cpd:C01500,compound,
cpd:C09871,compound,
cpd:C16466,compound,
cpd:C09847,compound,
cpd:C09849 cpd:C11386,compound,
cpd:C16468,compound,
path:ko00902,map,
ko:K13776,ortholog,
ko:K13774,ortholog,
ko:K13775,ortholog,
ko:K13774,ortholog,
ko:K13775,ortholog,
ko:K01640,ortholog,
cpd:C00092,compound,
ko:K01188 ko:K05349 ko:K05350,ortholog,
ko:K01188 ko:K05349 ko:K05350,ortholog,
ko:K00844,ortholog,
ko:K01232,ortholog,
path:ko00500,map,
ko:K01198 ko:K15920,ortholog,
ko:K01193,ortholog,
ko:K00847,ortholog,
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ortholog,
ko:K01193,ortholog,
ko:K01203,ortholog,
ko:K01188 ko:K05349 ko:K05350,ortholog,
ko:K01199,ortholog,
ko:K01179 ko:K19356 ko:K19357,ortholog,
ko:K00770,ortholog,
ko:K08678,ortholog,
ko:K02808 ko:K02809 ko:K02810,ortholog,
ko:K00695,ortholog,
ko:K00706,ortholog,
ko:K00694,ortholog,
ko:K00696,ortholog,
ko:K01513,ortholog,
ko:K00978,ortholog,
ko:K05344,ortholog,
ko:K11809,ortholog,
ko:K13648,ortholog,
ko:K08679,ortholog,
ko:K00012,ortholog,
ko:K00963,ortholog,
ko:K01051,ortholog,
ko:K00699,ortholog,
ko:K01195 ko:K14756,ortholog,
ko:K00697 ko:K16055,ortholog,
ko:K00693 ko:K16150 ko:K16153,ortholog,
ko:K00975,ortholog,
ko:K01835 ko:K15779 ko:K15778,ortholog,
path:ko00010,map,
ko:K01084,ortholog,
ko:K00844,ortholog,
ko:K12407 ko:K00845,ortholog,
ko:K01810 ko:K06859 ko:K13810 ko:K15916,ortholog,
ko:K01196,ortholog,
ko:K00700 ko:K16149,ortholog,
ko:K01087 ko:K16055,ortholog,
ko:K01208,ortholog,
ko:K01194,ortholog,
ko:K05342,ortholog,
ko:K01226,ortholog,
ko:K01838,ortholog,
ko:K01232,ortholog,
ko:K00691,ortholog,
ko:K01177,ortholog,
ko:K01176 ko:K07405 ko:K05343,ortholog,
ko:K12047 ko:K01178,ortholog,
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ortholog,
path:ko00053,map,
